Timestamp,Course Code,Course Name,College
2/12/24 10:35,BSCHEM,Bachelor of Science in Chemistry,(CSM) College of Science and Mathematics
2/12/24 10:37,BSBIO,Bachelor of Science in Biology,(CSM) College of Science and Mathematics
2/12/24 10:54,BSCA,Bachelor of Science in Computer Application,(CCS) College of Computer Studies
2/12/24 12:42,BSCHE,Bachelor of Science in Chemical Engineering,(COE) College of Engineering
2/17/24 10:43,BSIT,Bachelor of Science in Information Technology,(CCS) College of Computer Studies
2/19/24 11:06,BASOCIO,Bachelor of Arts in Sociology,(CASS) College of Arts and Social Sciences
2/19/24 21:04,BSMETE,Bachelor of Science in Metallurgical Engineering,(COE) College of Engineering
2/19/24 22:03,BSCERE,Bachelor of Science in Ceramics Engineering,(COE) College of Engineering
2/20/24 0:54,BSSTAT,Bachelor of Science in Statistics,(CSM) College of Science and Mathematics
2/20/24 1:03,BSIS,Bachelor of Science in Information Systems,(CCS) College of Computer Studies
2/20/24 9:10,BSME,Bachelor of Science in Mechanical Engineering,(COE) College of Engineering
2/20/24 9:14,BSESE,Bachelor of Science in Electronics Engineering,(COE) College of Engineering
2/27/24 14:52,BSEE,Bachelor of Science in Electrical Engineering,(COE) College of Engineering
2024-02-28 21:27:36,BSPSYCH,Bachelor of Science in Psychology,(CASS) College of Arts and Social Sciences
2024-02-28 21:30:41,BAPSYCH,Bachelor of Arts in Psychology,(CASS) College of Arts and Social Sciences
2024-02-29 23:10:21,BSCS,Bachelor of Science in Computer Science,(CCS) College of Computer Studies
2024-03-01 00:18:16,BSPHYSICS,Bachelor of Science in Physics,(CSM) College of Science and Mathematics
2024-03-01 00:20:30,BSHM,Bachelor of Science in Hospitality Management,(CEBAA) College of Economics–Business Administration–and Accountancy
2024-03-01 00:21:14,BSA,Bachelor of Science in Accountancy,(CEBAA) College of Economics–Business Administration–and Accountancy
2024-03-01 00:25:18,BSIAM,Bachelor of Science in Industrial Automation And Mechatronics,(COE) College of Engineering
2024-03-01 00:39:38,BSN,Bachelor of Science in Nursing,(CON) College of Nursing
2024-03-01 02:04:19,BAHISTORY,Bachelor of Arts in History,(CASS) College of Arts and Social Sciences
2024-03-01 02:05:04,BSCPE,Bachelor of Science in Computer Engineering,(COE) College of Engineering
2024-03-01 02:08:33,BSECON,Bachelor of Science in Economics,(CEBAA) College of Economics–Business Administration–and Accountancy
2024-03-01 02:11:13,BAPOLSCI,Bachelor of Arts in Political Science,(CASS) College of Arts and Social Sciences
